bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=262 SPIN=1 NTYPE=  2
 -3.800000  3.800000  3.800000
  3.800000 -3.800000  3.800000
  3.800000  3.800000 -3.800000
    1  435  2.200000  0.030000    1
  0.000000  0.000000  0.000000
 0.5430170331264D-02 0.1387576923518D-18 0.1082347509815D-01-0.4571236885801D-19
 0.1079541541326D-01-0.4587608505240D-18-0.1753764528419D-01-0.3172349746919D-18
 0.9508634119335D-02 0.1434609614210D-18 0.9304359543692D-02 0.1735767541698D-18
 0.4701865483880D-02-0.1138450466549D-18 0.8261901996574D-02 0.6632386017064D-19
 0.8243785568139D-02-0.2007703931512D-18-0.1287187104391D-01-0.1249763723819D-18
 0.7203257264221D-02 0.2170953549737D-18 0.7290937562033D-02-0.2993614963355D-18
 0.1846661530586D-02 0.5142571255763D-19-0.1099900252124D-01-0.6554348171763D-19
-0.2755180606239D-02 0.1153039186975D-18 0.3278720328694D-02 0.9160367574649D-19
 0.3161349117295D-02-0.4681350213615D-19-0.1875005782555D-01-0.2085463664854D-18
-0.9387594876770D-02 0.3479466989192D-18 0.5848960204106D-02-0.1280028782293D-18
 0.2936492566679D-02 0.1891416600524D-19-0.2654951344426D-02-0.8697483305946D-19
-0.7967713102301D-02 0.2557563442354D-18 0.5276618227781D-02 0.1343121415413D-18
 0.5323669959682D-02 0.3059820455658D-19 0.5191283923200D-02 0.1100375317864D-19
 0.2393714277369D-02 0.9760716154756D-19 0.2426296705988D-02 0.6709226561965D-19
 0.4800084417990D-02 0.5220259866573D-19-0.1134790878953D-01-0.3044969227728D-18
-0.5656706929453D-02 0.1351109264458D-18 0.2205523205004D-02 0.3643693569885D-19
 0.4452868731392D-02-0.1290394815442D-18-0.9463425744760D-02 0.1691754901189D-18
 0.4147683519281D-02 0.2286298458086D-19 0.4098998480084D-02 0.9116687965538D-19
 0.2089017213988D-02-0.1135655388490D-18 0.3847902591667D-02-0.4584543104047D-19
 0.3817744734067D-02 0.6913355555465D-19 0.3893102175323D-02-0.2063023485535D-18
-0.1625084482676D-02-0.3017826132022D-19 0.1815762575246D-02 0.5281162693488D-19
 0.1826319027853D-02-0.5634850323748D-19-0.2647078650260D-02-0.2816423684704D-20
-0.2658177161909D-02-0.7363670457119D-19 0.1677705558712D-02 0.4636256382775D-19
 0.3351385477492D-02 0.9351669503607D-19 0.3391628788778D-02 0.8847381066093D-19
 0.3417733169167D-02-0.1046225681810D-18-0.2155036989173D-02-0.1295976586076D-18
